Headquarter,Size,Founded,Type,Industry,Revenue,Employer,Job_Title,Basic_Pay,Additional_Pay,Avg_Pay,Avg_Pay_Num,Avg_Pay_Text,Max_Pay,Min_Pay,Rating,Positive,Negative,Neutral,Online,Campus,Refferal,City
"New York, NY",10000+ Employees,1923,Company - Public (NLSN),Enterprise Software & Network Solutions,$5 to $10 billion (USD),Nielsen,Nielsen Data Scientist Salaries,"₹ 6,97,330",NA,"₹ 6,97,330","₹6,97,330","The typical Nielsen Data Scientist salary is ₹6,97,330","₹1,331K",₹584K,3.7,65%,14%,21%,46%,25%,14%,Mumbai
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Data Scientist Salaries,"₹ 3,87,310 - ₹ 4,20,873",NA,NA,"₹3,87,310-₹4,20,873","Data Scientist salaries at Fractal can range from ₹3,87,310-₹4,20,873",NA,NA,4,72%,19%,9%,48%,20%,15%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Private,Insurance Operators,$10+ billion (USD),HDFC Standard Life Insurance,HDFC Standard Life Insurance Data Scientist Salaries,"₹ 12,35,975","₹ 50,680","₹ 12,86,655","₹12,35,975","The typical HDFC Standard Life Insurance Data Scientist salary is ₹12,35,975","₹2,664K","₹1,086K",3.8,73%,8%,19%,28%,26%,13%,Mumbai
"Gurgaon, India",1001 to 5000 Employees,2000,Company - Public (MMYT),Internet,$100 to $500 million (USD),MakeMyTrip,MakeMyTrip Data Scientist Salaries,"₹ 13,93,158",NA,"₹ 13,93,158","₹13,93,158","The typical MakeMyTrip Data Scientist salary is ₹13,93,158","₹3,102K",₹879K,4.3,49%,38%,13%,24%,22%,20%,Mumbai
"Mumbai, India",5001 to 10000 Employees,1995,Company - Public (EDELWEISS),Investment Banking & Asset Management,Unknown / Non-Applicable,Edelweiss Financial Services,Edelweiss Financial Services Data Scientist Salaries,"₹ 13,94,435 - ₹ 15,25,092",NA,NA,"₹13,94,435-₹15,25,092","Data Scientist salaries at Edelweiss Financial Services can range from ₹13,94,435-₹15,25,092",NA,NA,3.6,59%,17%,24%,41%,16%,14%,Mumbai
"Princeton, NJ",501 to 1000 Employees,1998,Company - Private,Computer Hardware & Software,$5 to $10 million (USD),Zycus,Zycus Data Scientist Salaries,"₹ 5,21,478 - ₹ 16,14,225",NA,NA,"₹5,21,478-₹16,14,225","Data Scientist salaries at Zycus can range from ₹5,21,478-₹16,14,225",NA,NA,3.4,50%,28%,22%,47%,29%,10%,Mumbai
"Zug, Switzerland",10000+ Employees,1980,Unknown,Architectural & Engineering Services,Unknown / Non-Applicable,Tata,Tata Data Scientist Salaries in Mumbai Area,"₹ 11,81,703 - ₹ 12,79,440","₹ 1,37,064",NA,"₹11,81,703-₹12,79,440","Data Scientist salaries at Tata can range from ₹11,81,703-₹12,79,440",NA,NA,4,72%,10%,18%,35%,29%,9%,Mumbai
"Palo Alto, CA",1001 to 5000 Employees,1997,Company - Private,Computer Hardware & Software,$1 to $2 billion (USD),TIBCO Software,TIBCO Software Data Scientist Salaries in Mumbai Area,"₹ 9,91,286 - ₹ 10,75,017",NA,NA,"₹9,91,286-₹10,75,017","Data Scientist salaries at TIBCO Software can range from ₹9,91,286-₹10,75,017",NA,NA,4,55%,25%,20%,43%,16%,14%,Mumbai
"Marlborough, MA",501 to 1000 Employees,2013,Company - Private,Consulting,Unknown / Non-Applicable,Quantiphi,Quantiphi Data Scientist Salaries,"₹ 1,43,834 - ₹ 1,55,286",NA,NA,"₹1,43,834-₹1,55,286","Data Scientist salaries at Quantiphi can range from ₹1,43,834-₹1,55,286",NA,NA,3.5,47%,29%,24%,68%,14%,10%,Mumbai
"New York, NY",1001 to 5000 Employees,1969,Company - Public (MSCI),Financial Analytics & Research,$1 to $2 billion (USD),MSCI,MSCI Data Scientist Salaries in Mumbai Area,"₹ 5,64,060 - ₹ 6,17,768",NA,NA,"₹5,64,060-₹6,17,768","Data Scientist salaries at MSCI can range from ₹5,64,060-₹6,17,768",NA,NA,4,62%,20%,18%,41%,18%,15%,Mumbai
"New York, NY",1001 to 5000 Employees,1969,Company - Public (MSCI),Financial Analytics & Research,$1 to $2 billion (USD),MSCI,MSCI Data Scientist Salaries in Mumbai Area,"₹ 5,74,294 - ₹ 6,22,535",NA,NA,"₹5,74,294-₹6,22,535","Data Scientist salaries at MSCI can range from ₹5,74,294-₹6,22,535",NA,NA,4,62%,20%,18%,41%,18%,15%,Mumbai
"New York, NY",5001 to 10000 Employees,2008,Company - Public,Financial Analytics & Research,$1 to $2 billion (USD),Moody's Analytics,Moody's Analytics Data Scientist Salaries in Mumbai Area,"₹ 12,62,634 - ₹ 13,78,802",NA,NA,"₹12,62,634-₹13,78,802","Data Scientist salaries at Moody's Analytics can range from ₹12,62,634-₹13,78,802",NA,NA,3.8,60%,19%,21%,44%,21%,15%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1987,Company - Private,Brokerage Services,Unknown / Non-Applicable,Angel Broking,Angel Broking Data Scientist Salaries in Mumbai Area,"₹ 2,43,832 - ₹ 2,63,433",NA,NA,"₹2,43,832-₹2,63,433","Data Scientist salaries at Angel Broking can range from ₹2,43,832-₹2,63,433",NA,NA,3.7,70%,16%,14%,34%,20%,18%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1987,Company - Public (532892),Brokerage Services,$5 to $10 billion (USD),Motilal Oswal Securities,Motilal Oswal Securities Data Scientist Salaries in Mumbai Area,"₹ 5,53,160 - ₹ 6,04,666",₹ 1,NA,"₹5,53,160-₹6,04,666","Data Scientist salaries at Motilal Oswal Securities can range from ₹5,53,160-₹6,04,666",NA,NA,3.6,58%,29%,13%,31%,25%,20%,Mumbai
"Minneapolis, MN",10000+ Employees,1866,Company - Public (GIS),Food & Drink Manufacturing,$10+ billion (USD),General Mills,General Mills Data Scientist Salaries,"₹ 22,63,241 - ₹ 24,43,128","₹ 2,61,454",NA,"₹22,63,241-₹24,43,128","Data Scientist salaries at General Mills can range from ₹22,63,241-₹24,43,128",NA,NA,4.2,73%,10%,17%,38%,36%,10%,Mumbai
"Mumbai, India",1001 to 5000 Employees,null,Subsidiary or Business Segment,Investment Banking & Asset Management,$1 to $2 billion (USD),Tata Capital,Tata Capital Data Scientist Salaries in Mumbai Area,"₹ 10,74,303 - ₹ 11,73,198",NA,NA,"₹10,74,303-₹11,73,198","Data Scientist salaries at Tata Capital can range from ₹10,74,303-₹11,73,198",NA,NA,3.5,74%,8%,18%,58%,17%,14%,Mumbai
"Deerfield, IL",10000+ Employees,2012,Company - Public (MDLZ),Food & Drink Manufacturing,$10+ billion (USD),Mondelēz International,Mondelēz International Data Scientist Salaries in Mumbai Area,"₹ 19,56,495 - ₹ 21,23,764","₹ 4,08,522",NA,"₹19,56,495-₹21,23,764","Data Scientist salaries at Mondelēz International can range from ₹19,56,495-₹21,23,764",NA,NA,3.9,66%,15%,19%,60%,14%,10%,Mumbai
"Gurgaon, India",1001 to 5000 Employees,2013,Company - Private,Education Training Services,$10 to $25 million (USD),Great Learning,Great Learning Data Scientist Salaries in Mumbai Area,"₹ 9,54,238 - ₹ 10,26,090","₹ 1,09,936",NA,"₹9,54,238-₹10,26,090","Data Scientist salaries at Great Learning can range from ₹9,54,238-₹10,26,090",NA,NA,4.2,50%,36%,14%,29%,23%,23%,Mumbai
"Mumbai, India",1001 to 5000 Employees,null,Company - Private,Investment Banking & Asset Management,$1 to $2 billion (USD),infrasoft technologies,infrasoft technologies Data Scientist Salaries in Mumbai Area,"₹ 4,57,686 - ₹ 4,95,154",₹ 1,NA,"₹4,57,686-₹4,95,154","Data Scientist salaries at infrasoft technologies can range from ₹4,57,686-₹4,95,154",NA,NA,3.9,55%,21%,24%,30%,20%,14%,Mumbai
"Mumbai, India",1001 to 5000 Employees,2007,Company - Private,TV Broadcasting & Cable Networks,$100 to $500 million (USD),Viacom 18,Viacom 18 Data Scientist Salaries in Mumbai Area,"₹ 6,86,462 - ₹ 7,55,136",NA,NA,"₹6,86,462-₹7,55,136","Data Scientist salaries at Viacom 18 can range from ₹6,86,462-₹7,55,136",NA,NA,3.9,60%,13%,27%,30%,15%,15%,Mumbai
"Paris, France",10000+ Employees,1926,Company - Private,Advertising & Marketing,$5 to $10 billion (USD),Publicis Groupe,Publicis Groupe Data Scientist Salaries in Mumbai Area,"₹ 6,28,290 - ₹ 6,81,415","₹ 25,000",NA,"₹6,28,290-₹6,81,414","Data Scientist salaries at Publicis Groupe can range from ₹6,28,290-₹6,81,414",NA,NA,3.7,53%,19%,28%,45%,18%,15%,Mumbai
"Mumbai, India",51 to 200 Employees,null,Company - Private,Financial Analytics & Research,Unknown / Non-Applicable,Decimal Point Analytics,Decimal Point Analytics Data Scientist Salaries in Mumbai Area,"₹ 9,73,594 - ₹ 10,68,954",NA,NA,"₹9,73,594-₹10,68,954","Data Scientist salaries at Decimal Point Analytics can range from ₹9,73,594-₹10,68,954",NA,NA,3.4,63%,9%,28%,49%,33%,7%,Mumbai
"Mumbai, India",501 to 1000 Employees,2007,Company - Private,Internet,Unknown / Non-Applicable,Iksula,Iksula Data Scientist Salaries in Mumbai Area,"₹ 8,62,417 - ₹ 9,36,343",NA,NA,"₹8,62,417-₹9,36,343","Data Scientist salaries at Iksula can range from ₹8,62,417-₹9,36,343",NA,NA,3.5,55%,29%,16%,24%,22%,14%,Mumbai
"Mumbai, India",201 to 500 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Cogoport,Cogoport Data Scientist Salaries in Mumbai Area,"₹ 6,28,936 - ₹ 6,87,094",NA,NA,"₹6,28,936-₹6,87,094","Data Scientist salaries at Cogoport can range from ₹6,28,936-₹6,87,094",NA,NA,2.3,41%,50%,9%,61%,17%,6%,Mumbai
"Dublin, Ireland",10000+ Employees,1980,Company - Public,Financial Analytics & Research,$2 to $5 billion (USD),Experian,Experian Data Scientist Salaries in Mumbai Area,"₹ 3,32,802 - ₹ 3,59,552",NA,NA,"₹3,32,802-₹3,59,552","Data Scientist salaries at Experian can range from ₹3,32,802-₹3,59,552",NA,NA,4.2,57%,27%,16%,50%,19%,13%,Mumbai
"Dublin, Ireland",10000+ Employees,1980,Company - Public,Financial Analytics & Research,$2 to $5 billion (USD),Experian,Experian Data Scientist Salaries in Mumbai Area,"₹ 3,35,831 - ₹ 3,58,991",NA,NA,"₹3,35,831-₹3,58,991","Data Scientist salaries at Experian can range from ₹3,35,831-₹3,58,991",NA,NA,4.2,57%,27%,16%,50%,19%,13%,Mumbai
"Santa Clara, CA",501 to 1000 Employees,2003,Company - Private,IT Services,Unknown / Non-Applicable,V2 Solutions,V2 Solutions Data Scientist Salaries in Mumbai Area,"₹ 11,03,241 - ₹ 11,93,280",NA,NA,"₹11,03,241-₹11,93,280","Data Scientist salaries at V2 Solutions can range from ₹11,03,241-₹11,93,280",NA,NA,3.6,61%,26%,13%,33%,19%,14%,Mumbai
"San Francisco, CA",201 to 500 Employees,2014,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Postman,Postman Data Scientist Salaries,"₹ 11,69,952 - ₹ 14,78,615",NA,NA,"₹11,69,952-₹14,78,615","Data Scientist salaries at Postman can range from ₹11,69,952-₹14,78,615",NA,NA,4.4,44%,39%,17%,64%,16%,8%,Mumbai
"Mumbai, India",1001 to 5000 Employees,1981,Company - Public,Consumer Products Manufacturing,$100 to $500 million (USD),Nilkamal,Nilkamal Data Scientist Salaries in Mumbai Area,"₹ 5,75,040 - ₹ 6,28,794",NA,NA,"₹5,75,040-₹6,28,794","Data Scientist salaries at Nilkamal can range from ₹5,75,040-₹6,28,794",NA,NA,3.7,42%,33%,25%,33%,22%,22%,Mumbai
"Mumbai, India",501 to 1000 Employees,2006,Company - Private,Internet,Unknown / Non-Applicable,Play Games24x7,Play Games24x7 Data Scientist Salaries in Mumbai Area,"₹ 19,83,950 - ₹ 21,62,778",NA,NA,"₹19,83,950-₹21,62,778","Data Scientist salaries at Play Games24x7 can range from ₹19,83,950-₹21,62,778",NA,NA,4,50%,38%,12%,32%,32%,20%,Mumbai
"Mumbai, India",201 to 500 Employees,2014,Company - Private,Internet,Unknown / Non-Applicable,Turtlemint,Turtlemint Data Scientist Salaries in Mumbai Area,"₹ 12,11,842 - ₹ 13,04,032",NA,NA,"₹12,11,842-₹13,04,032","Data Scientist salaries at Turtlemint can range from ₹12,11,842-₹13,04,032",NA,NA,3.6,14%,79%,7%,38%,31%,15%,Mumbai
"Mumbai, India",201 to 500 Employees,2018,Company - Public,Internet,Unknown / Non-Applicable,ZEE5,ZEE5 Data Scientist Salaries in Mumbai Area,"₹ 5,99,543 - ₹ 6,55,287",NA,NA,"₹5,99,542-₹6,55,287","Data Scientist salaries at ZEE5 can range from ₹5,99,542-₹6,55,287",NA,NA,3.1,56%,22%,22%,38%,25%,25%,Mumbai
"Mumbai, India",51 to 200 Employees,2013,Company - Private,Publishing,Unknown / Non-Applicable,Fork Media,Fork Media Data Scientist Salaries in Mumbai Area,"₹ 5,83,039 - ₹ 6,28,191",NA,NA,"₹5,83,039-₹6,28,191","Data Scientist salaries at Fork Media can range from ₹5,83,039-₹6,28,191",NA,NA,3.4,50%,25%,25%,75%,25%,,Mumbai
"Mumbai, India",201 to 500 Employees,2007,Company - Private,Transportation Management,Unknown / Non-Applicable,Meru Mobility Tech,Meru Mobility Tech Data Scientist Salaries in Mumbai Area,"₹ 10,02,789 - ₹ 10,66,726",NA,NA,"₹10,02,789-₹10,66,726","Data Scientist salaries at Meru Mobility Tech can range from ₹10,02,789-₹10,66,726",NA,NA,4.2,47%,33%,20%,44%,31%,13%,Mumbai
"Mountain View, CA",51 to 200 Employees,2013,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,CleverTap,CleverTap Data Scientist Salaries in Mumbai Area,"₹ 19,18,371 - ₹ 20,65,142",NA,NA,"₹19,18,371-₹20,65,142","Data Scientist salaries at CleverTap can range from ₹19,18,371-₹20,65,142",NA,NA,4,70%,25%,5%,38%,25%,13%,Mumbai
"Sydney, Australia",1001 to 5000 Employees,1997,Company - Private,IT Services,$100 to $500 million (USD),Planit,Planit Data Scientist Salaries in Mumbai Area,"₹ 7,02,246 - ₹ 7,65,612",NA,NA,"₹7,02,246-₹7,65,612","Data Scientist salaries at Planit can range from ₹7,02,246-₹7,65,612",NA,NA,3.4,48%,28%,24%,83%,8%,6%,Mumbai
"Mumbai, India",501 to 1000 Employees,2009,Company - Private,Investment Banking & Asset Management,$100 to $500 million (USD),Axis Mutual Fund,Axis Mutual Fund Data Scientist Monthly Pay in Mumbai Area,"₹ 81,142 - ₹ 87,798",NA,NA,"₹81,142-₹87,798","Data Scientist salaries at Axis Mutual Fund can range from ₹81,142-₹87,798",NA,NA,3.7,100%,50%,50%,,,,Mumbai
"Mumbai, India",51 to 200 Employees,2001,Company - Private,IT Services,Unknown / Non-Applicable,D2K Technologies India,D2K Technologies India Data Scientist Salaries in Mumbai Area,"₹ 2,65,034 - ₹ 2,89,102",NA,NA,"₹2,65,034-₹2,89,102","Data Scientist salaries at D2K Technologies India can range from ₹2,65,034-₹2,89,102",NA,NA,2.8,20%,60%,20%,75%,25%,,Mumbai
"Los Angeles, CA",1001 to 5000 Employees,2012,Company - Public (ENT),Telecommunications Services,$100 to $500 million (USD),Global Eagle,Global Eagle Data Scientist Salaries in Mumbai Area,"₹ 42,12,520 - ₹ 45,84,982","₹ 3,29,807",NA,"₹42,12,520-₹45,84,982","Data Scientist salaries at Global Eagle can range from ₹42,12,520-₹45,84,982",NA,NA,2.8,45%,32%,23%,68%,11%,11%,Mumbai
"Tuscaloosa, AL",201 to 500 Employees,1964,Company - Private,Consulting,$25 to $50 million (USD),TTL,TTL Data Scientist Monthly Pay in Mumbai Area,"₹ 9,772 - ₹ 10,672",NA,NA,"₹9,772-₹10,672","Data Scientist salaries at TTL can range from ₹9,772-₹10,672",NA,NA,3.8,,,,,,,Mumbai
"Rochester, MI",501 to 1000 Employees,2006,Company - Private,IT Services,$25 to $50 million (USD),Shorewise Consulting,Shorewise Consulting Data Scientist Salaries in Mumbai Area,"₹ 4,35,145 - ₹ 4,71,095",NA,NA,"₹4,35,145-₹4,71,095","Data Scientist salaries at Shorewise Consulting can range from ₹4,35,145-₹4,71,095",NA,NA,4.2,100%,100%,,,,,Mumbai
"San Francisco, CA",1001 to 5000 Employees,2007,Company - Public (ZEN),Enterprise Software & Network Solutions,$1 to $2 billion (USD),Zendesk,Zendesk Data Scientist Monthly Pay in Mumbai Area,"₹ 43,787 - ₹ 47,925",NA,NA,"₹43,787-₹47,925","Data Scientist salaries at Zendesk can range from ₹43,787-₹47,925",NA,NA,4.4,48%,37%,14%,57%,20%,16%,Mumbai
"Mumbai, India",51 to 200 Employees,2018,Company - Private,Publishing,Unknown / Non-Applicable,NEWJ,NEWJ Data Scientist Salaries in Mumbai Area,"₹ 13,60,846 - ₹ 14,84,850",NA,NA,"₹13,60,846-₹14,84,850","Data Scientist salaries at NEWJ can range from ₹13,60,846-₹14,84,850",NA,NA,3.5,NA,NA,NA,NA,NA,NA,Mumbai
"Los Angeles, CA",201 to 500 Employees,2002,Company - Public,Staffing & Outsourcing,Unknown / Non-Applicable,Creative Circle,Creative Circle Data Scientist Monthly Pay in Mumbai Area,"₹ 24,244 - ₹ 26,457",NA,NA,"₹24,244-₹26,456","Data Scientist salaries at Creative Circle can range from ₹24,244-₹26,456",NA,NA,3.7,52%,28%,20%,71%,13%,6%,Mumbai
"Mumbai, India",51 to 200 Employees,2018,Company - Private,Enterprise Software & Network Solutions,$1 to $5 million (USD),Javis,Javis Data Scientist Salaries in Mumbai Area,"₹ 15,56,748 - ₹ 17,15,058",NA,NA,"₹15,56,748-₹17,15,058","Data Scientist salaries at Javis can range from ₹15,56,748-₹17,15,058",NA,NA,NA,NA,NA,NA,NA,NA,NA,Mumbai
"Mumbai, India",5001 to 10000 Employees,1995,Company - Public (EDELWEISS),Investment Banking & Asset Management,Unknown / Non-Applicable,Edelweiss Financial Services,Edelweiss Financial Services Data Science Salaries in Mumbai Area,"₹ 2,23,327 - ₹ 2,54,193",NA,NA,"₹2,25,745","The typical Edelweiss Financial Services Data Science salary is ₹2,25,745",NA,NA,3.6,59%,17%,24%,41%,16%,14%,Mumbai
"Vāshi, India",1 to 50 Employees,2016,Company - Private,IT Services,Unknown / Non-Applicable,Sciative Solutions,Sciative Solutions Junior Data Scientist Salaries in Mumbai Area,"₹ 3,26,706 - ₹ 7,41,396","₹ 52,957",NA,"₹4,03,950","The typical Sciative Solutions Junior Data Scientist salary is ₹4,03,950",NA,NA,3.6,69%,8%,23%,55%,36%,9%,Mumbai
"Mumbai, India",5001 to 10000 Employees,2000,Company - Public (ECLERX),Consulting,$100 to $500 million (USD),eClerx,eClerx Sr. Data Scientist Salaries in Mumbai Area,"₹ 10,68,914 - ₹ 17,90,707","₹ 32,981",NA,,The typical eClerx Sr,NA,NA,3.5,62%,17%,21%,30%,20%,14%,Mumbai
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Data Science Salaries,"₹ 2,17,403 - ₹ 6,13,090",NA,NA,"₹2,17,403-₹6,13,090","Data Science salaries at Fractal can range from ₹2,17,403-₹6,13,090",NA,NA,4,72%,19%,9%,48%,20%,15%,Mumbai
"New York, NY",1001 to 5000 Employees,1969,Company - Public (MSCI),Financial Analytics & Research,$1 to $2 billion (USD),MSCI,MSCI Data Science Salaries,"₹ 7,17,447 - ₹ 7,69,248",NA,NA,"₹7,17,447-₹7,69,248","Data Science salaries at MSCI can range from ₹7,17,447-₹7,69,248",NA,NA,4,62%,20%,18%,41%,18%,15%,Mumbai
"Mumbai, India",1 to 50 Employees,null,Company - Private,Enterprise Software & Network Solutions,Unknown / Non-Applicable,Karza Technologies,Karza Technologies Data Science Salaries,"₹ 1,90,751 - ₹ 2,07,329",NA,NA,"₹1,90,751-₹2,07,329","Data Science salaries at Karza Technologies can range from ₹1,90,751-₹2,07,329",NA,NA,4.3,38%,58%,4%,48%,13%,13%,Mumbai
"New York, NY",1001 to 5000 Employees,2000,Company - Private,Consulting,$100 to $500 million (USD),Fractal,Fractal Senior Data Scientist Salaries,"₹ 20,69,333","₹ 2,46,078","₹ 20,69,333","₹20,69,333","The typical Fractal Senior Data Scientist salary is ₹20,69,333","₹2,254K","₹1,402K",4,72%,19%,9%,48%,20%,15%,Mumbai
"Mumbai, India",10000+ Employees,null,Company - Private,Insurance Operators,$10+ billion (USD),HDFC Standard Life Insurance,HDFC Standard Life Insurance Senior Data Scientist Salaries,"₹ 21,48,849 - ₹ 30,00,000",NA,NA,"₹30,00,000","The typical HDFC Standard Life Insurance Senior Data Scientist salary is ₹30,00,000",NA,NA,3.8,73%,8%,19%,28%,26%,13%,Mumbai
"Amsterdam, Netherlands",5001 to 10000 Employees,1984,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,HERE Technologies,HERE Technologies Lead Data Scientist Salaries,"₹ 34,79,631 - ₹ 46,60,517","₹ 4,54,646",NA,"₹34,79,631-₹46,60,517","Lead Data Scientist salaries at HERE Technologies can range from ₹34,79,631-₹46,60,517",NA,NA,3.8,62%,24%,15%,35%,28%,12%,Mumbai
"Dublin, Ireland",10000+ Employees,1989,Company - Public (ACN),Consulting,$10+ billion (USD),Accenture,Accenture Data Science Manager Salaries,"₹ 24,71,678","₹ 1,66,472","₹ 24,71,678","₹24,71,678","The typical Accenture Data Science Manager salary is ₹24,71,678","₹3,350K",₹925K,4,70%,13%,17%,37%,29%,12%,Mumbai
"Mumbai, India",1 to 50 Employees,2006,Company - Private,Computer Hardware & Software,Unknown / Non-Applicable,Neoquant Solutions,Neoquant Solutions Data Science Analyst Salaries,"₹ 3,42,265 - ₹ 3,73,262",NA,NA,"₹3,42,265-₹3,73,262","Data Science Analyst salaries at Neoquant Solutions can range from ₹3,42,265-₹3,73,262",NA,NA,3.5,71%,24%,6%,43%,21%,14%,Mumbai
"Vāshi, India",1 to 50 Employees,2016,Company - Private,IT Services,Unknown / Non-Applicable,Sciative Solutions,Sciative Solutions Jr. Data Scientist Salaries,"₹ 3,29,609 - ₹ 6,50,000","₹ 2,58,772",NA,,The typical Sciative Solutions Jr,NA,NA,3.6,69%,8%,23%,55%,36%,9%,Mumbai
